,Name,region,release_date,type,score,url
233,佐罗,法国,1975-03-06,"['动作', '冒险', '喜剧', '西部']",8.0,https://movie.douban.com/subject/1291866/
234,龙门客栈,台湾,1967-10-21,"['动作', '冒险', '武侠', '古装']",8.0,https://movie.douban.com/subject/1459054/
235,新独臂刀,香港,1971-02-07,"['动作', '武侠', '古装']",8.0,https://movie.douban.com/subject/1302128/
236,野鹅敢死队,英国,1978-08-07,"['动作', '剧情', '战争', '冒险']",8.0,https://movie.douban.com/subject/1304730/
237,痛击,印度,2010-10-15,"['剧情', '动作', '犯罪']",8.0,https://movie.douban.com/subject/5159694/
238,飞出个未来大电影3：班德的游戏,美国,2008-11-04,"['动画', '动作', '冒险', '喜剧', '奇幻', '科幻']",8.0,https://movie.douban.com/subject/2150082/
239,忠烈图,香港,1975-02-19,"['动作', '武侠', '古装']",8.0,https://movie.douban.com/subject/1296161/
240,血洗鳄鱼仇,印度,1988-08-12,"['剧情', '惊悚', '动作']",8.0,https://movie.douban.com/subject/1766068/
241,斩,日本,1968-06-22,"['喜剧', '动作']",8.0,https://movie.douban.com/subject/1547174/
242,美丽拳王,泰国,2004-04-09,"['动作', '剧情']",8.0,https://movie.douban.com/subject/1337290/
243,一代宗师,中国大陆,2013-01-08,"['剧情', '传记', '动作', '爱情']",7.9,https://movie.douban.com/subject/3821067/
244,美国队长2,美国,2014-04-04,"['动作', '科幻', '冒险']",7.9,https://movie.douban.com/subject/6390823/
245,荒野猎人,美国,2016-03-18,"['剧情', '动作', '冒险']",7.9,https://movie.douban.com/subject/5327268/
246,食神,香港,1996-12-21,"['动作', '喜剧']",7.9,https://movie.douban.com/subject/1293351/
247,无间道3：终极无间,中国大陆,2003-12-12,"['动作', '犯罪', '剧情', '惊悚']",7.9,https://movie.douban.com/subject/1307694/
248,星际迷航2：暗黑无界,美国,2013-05-28,"['动作', '科幻', '冒险']",7.9,https://movie.douban.com/subject/3642843/
249,超人总动员2,美国,2018-06-22,"['喜剧', '动作', '动画', '冒险']",7.9,https://movie.douban.com/subject/25849049/
250,生化危机,英国,2002-03-15,"['动作', '科幻', '恐怖']",7.9,https://movie.douban.com/subject/1306809/
251,杀死比尔2,美国,2004-04-08,"['动作', '犯罪', '惊悚']",7.9,https://movie.douban.com/subject/1291584/
252,第五元素,法国,1997-05-07,"['动作', '科幻', '冒险']",7.9,https://movie.douban.com/subject/1293531/
253,兰戈,美国,2011-02-14,"['喜剧', '动作', '动画', '西部', '冒险']",7.9,https://movie.douban.com/subject/2998253/
254,黄飞鸿之二：男儿当自强,香港,1992-04-16,"['动作', '爱情', '武侠', '古装']",7.9,https://movie.douban.com/subject/1293475/
255,星球大战前传2：克隆人的进攻,美国,2002-07-12,"['动作', '科幻', '冒险']",7.9,https://movie.douban.com/subject/1297785/
256,热血高校2,日本,2009-04-11,['动作'],7.9,https://movie.douban.com/subject/3074408/
257,夺宝奇兵,美国,1981-06-12,"['动作', '冒险']",7.9,https://movie.douban.com/subject/1296717/
258,卑劣的街头,韩国,2006-06-15,"['动作', '犯罪', '惊悚']",7.9,https://movie.douban.com/subject/1827713/
259,走到尽头,韩国,2014-05-18,"['动作', '犯罪', '惊悚']",7.9,https://movie.douban.com/subject/25766529/
260,突袭2：暴徒,印度尼西亚,2014-01-21,"['剧情', '动作', '犯罪']",7.9,https://movie.douban.com/subject/10535562/
261,极恶非道,日本,2010-06-12,"['动作', '犯罪']",7.9,https://movie.douban.com/subject/3819939/
