,Name,region,release_date,type,score,url
122,第九区,美国,2009-11-27,"['动作', '剧情', '科幻', '惊悚']",8.2,https://movie.douban.com/subject/3006772/
123,霍比特人1：意外之旅,美国,2013-02-22,"['动作', '奇幻', '冒险']",8.2,https://movie.douban.com/subject/1966182/
124,杀死比尔,美国,2003-09-29,"['动作', '犯罪', '惊悚']",8.2,https://movie.douban.com/subject/1291580/
125,加勒比海盗2：聚魂棺,美国,2006-07-07,"['动作', '冒险', '奇幻']",8.2,https://movie.douban.com/subject/1315574/
126,X战警：第一战,美国,2011-05-25,"['动作', '剧情', '科幻']",8.2,https://movie.douban.com/subject/3168089/
127,国产凌凌漆,香港,1994-10-13,"['动作', '喜剧']",8.2,https://movie.douban.com/subject/1307739/
128,铁甲钢拳,美国,2011-11-08,"['剧情', '动作', '科幻', '运动']",8.2,https://movie.douban.com/subject/1972729/
129,老男孩,韩国,2003-11-21,"['剧情', '动作', '爱情', '悬疑']",8.2,https://movie.douban.com/subject/1308865/
130,飓风营救,法国,2008-02-27,"['动作', '犯罪', '剧情', '惊悚']",8.2,https://movie.douban.com/subject/2124586/
131,买凶拍人,香港,2001-08-16,"['犯罪', '动作', '喜剧']",8.2,https://movie.douban.com/subject/1300616/
132,英雄本色2,香港,1987-12-17,"['剧情', '动作', '犯罪']",8.2,https://movie.douban.com/subject/1297862/
133,铁雨,韩国,2017-12-14,"['剧情', '动作']",8.2,https://movie.douban.com/subject/26863778/
134,监狱风云,香港,1987-11-13,"['剧情', '动作', '犯罪']",8.2,https://movie.douban.com/subject/1293422/
135,第一滴血,美国,1982-10-22,"['动作', '冒险', '剧情', '惊悚']",8.2,https://movie.douban.com/subject/1294323/
136,西北偏北,美国,1959-07-17,"['动作', '犯罪', '悬疑']",8.2,https://movie.douban.com/subject/1295872/
137,最终幻想7：圣子降临,日本,2005-09-14,"['动画', '动作', '科幻', '惊悚']",8.2,https://movie.douban.com/subject/1422063/
138,夺宝奇兵3,美国,1989-05-24,"['动作', '冒险']",8.2,https://movie.douban.com/subject/1293471/
139,处刑人,加拿大,1999-08-04,"['动作', '犯罪', '剧情', '惊悚']",8.2,https://movie.douban.com/subject/1469049/
140,野战排,美国,1986-12-19,"['动作', '剧情', '战争']",8.2,https://movie.douban.com/subject/1293396/
141,雌雄大盗,美国,1967-08-13,"['动作', '传记', '犯罪']",8.2,https://movie.douban.com/subject/1294584/
142,魁拔Ⅲ战神崛起,中国大陆,2014-10-01,"['动作', '动画', '奇幻', '冒险']",8.2,https://movie.douban.com/subject/24723061/
143,喋血街头,香港,1990-08-17,"['剧情', '动作', '犯罪', '惊悚']",8.2,https://movie.douban.com/subject/1295344/
144,追捕,日本,1976-02-11,"['剧情', '动作', '犯罪']",8.2,https://movie.douban.com/subject/1291863/
145,爱的曝光,日本,2008-11-29,"['动作', '喜剧', '剧情', '爱情']",8.2,https://movie.douban.com/subject/2361266/
146,蝙蝠侠：黑暗骑士归来(上),美国,2012-09-25,"['动作', '动画']",8.2,https://movie.douban.com/subject/11443807/
147,卡桑德拉大桥,意大利,1976-12-18,"['剧情', '动作', '惊悚', '灾难']",8.2,https://movie.douban.com/subject/1298917/
148,小倩,香港,1997-07-26,"['动作', '奇幻', '动画', '喜剧', '爱情']",8.2,https://movie.douban.com/subject/1293098/
149,龙争虎斗,美国,1973-07-26,"['动作', '犯罪']",8.2,https://movie.douban.com/subject/1293118/
150,老人Z,日本,1991-09-14,"['动作', '动画', '喜剧', '科幻']",8.2,https://movie.douban.com/subject/1308236/
151,胜利之光,美国,2004-10-08,"['动作', '剧情', '运动']",8.2,https://movie.douban.com/subject/1308815/
152,机动警察剧场版1,日本,1989-07-15,"['剧情', '动作', '科幻', '动画', '犯罪']",8.2,https://movie.douban.com/subject/1467778/
153,变形金刚大电影,美国,1986-08-08,"['动作', '科幻', '动画', '冒险']",8.2,https://movie.douban.com/subject/1296109/
154,迎春阁之风波,香港,1973-12-06,"['剧情', '动作', '悬疑', '武侠', '古装']",8.2,https://movie.douban.com/subject/1307898/
155,天与地,法国,1993-12-25,"['动作', '传记', '剧情', '历史', '战争']",8.2,https://movie.douban.com/subject/1300932/
156,战略大作战,南斯拉夫,1970-06-23,"['动作', '冒险', '喜剧', '战争']",8.2,https://movie.douban.com/subject/1302321/
157,血染雪山堡,英国,1968-12-04,"['动作', '冒险', '剧情', '战争']",8.2,https://movie.douban.com/subject/1300347/
158,红河,美国,1948-08-26,"['西部', '动作', '冒险']",8.2,https://movie.douban.com/subject/1292565/
159,疤面人,美国,1932-04-09,"['剧情', '动作', '犯罪']",8.2,https://movie.douban.com/subject/1299608/
160,奈克瑟斯奥特曼剧场版,日本,2004,"['动作', '剧情', '奇幻', '科幻']",8.2,https://movie.douban.com/subject/1859322/
161,侍,日本,1965-01-03,"['动作', '冒险', '剧情', '历史']",8.2,https://movie.douban.com/subject/1437432/
162,无双,中国大陆,2018-09-30,"['剧情', '动作', '犯罪']",8.1,https://movie.douban.com/subject/26425063/
163,复仇者联盟3：无限战争,美国,2018-05-11,"['动作', '科幻', '奇幻', '冒险']",8.1,https://movie.douban.com/subject/24773958/
164,复仇者联盟,美国,2012-05-05,"['动作', '科幻', '奇幻', '冒险']",8.1,https://movie.douban.com/subject/1866479/
165,碟中谍6：全面瓦解,美国,2018-08-31,"['动作', '惊悚', '冒险']",8.1,https://movie.douban.com/subject/26336252/
166,钢铁侠,美国,2008-04-30,"['动作', '冒险', '科幻', '惊悚']",8.1,https://movie.douban.com/subject/1432146/
167,明日边缘,美国,2014-06-06,"['动作', '科幻']",8.1,https://movie.douban.com/subject/4746257/
168,猩球崛起,美国,2011-10-28,"['剧情', '动作', '科幻']",8.1,https://movie.douban.com/subject/3274505/
169,后天,美国,2004-05-28,"['动作', '科幻', '冒险', '灾难']",8.1,https://movie.douban.com/subject/1308779/
170,加勒比海盗3：世界的尽头,美国,2007-06-12,"['动作', '冒险', '奇幻']",8.1,https://movie.douban.com/subject/1418192/
171,师父,中国大陆,2015-12-10,"['剧情', '动作', '武侠']",8.1,https://movie.douban.com/subject/25919910/
172,罗拉快跑,德国,1998-08-20,"['动作', '犯罪', '惊悚']",8.1,https://movie.douban.com/subject/1292275/
173,碟中谍,美国,1996-05-22,"['动作', '冒险', '惊悚']",8.1,https://movie.douban.com/subject/1292484/
174,孤胆特工,韩国,2011-09-16,"['剧情', '动作', '犯罪', '惊悚']",8.1,https://movie.douban.com/subject/4249355/
175,空中监狱,美国,1997-06-06,"['动作', '犯罪', '惊悚']",8.1,https://movie.douban.com/subject/1300618/
176,真实的谎言,美国,1995-04-20,"['喜剧', '动作', '惊悚']",8.1,https://movie.douban.com/subject/1292553/
177,勇敢者的游戏,美国,1995-12-15,"['动作', '奇幻', '冒险']",8.1,https://movie.douban.com/subject/1294990/
178,生死时速,美国,1994-06-10,"['动作', '犯罪', '惊悚']",8.1,https://movie.douban.com/subject/1293167/
179,国家公敌,美国,1998-11-20,"['动作', '剧情', '惊悚']",8.1,https://movie.douban.com/subject/1297544/
180,升级,澳大利亚,2018-03-10,"['动作', '科幻', '惊悚']",8.1,https://movie.douban.com/subject/27093707/
